venue	lon	lat	countryCode	place	venueLabel	placeLabel	osm_way	website	address	eventVenueType	eventVenueTypeLabel	osm_node	osm_relation
Q12374576	24.75173	59.43289	EE	Q4450503	Sakala Center	Tallinn City				Q1329623	cultural center		
Q12374576	24.75173	59.43289	EE	Q4450503	Sakala Center	Tallinn City				Q230752	auditorium		
Q12374576	24.75173	59.43289	EE	Q4450503	Sakala Center	Tallinn City				Q1378975	convention center		
Q12374576	24.75173	59.43289	EE	Q4450503	Sakala Center	Tallinn City				Q253275	lecture hall		
Q123759329	-97.38372	32.34544	US	Q534957	Dudley Hall	Cleburne	201642545		305 South Anglin Street, Cleburne, TX	Q230752	auditorium		
Q123819239	-97.40923	32.33948	US	Q534957	Cleburne Conference Center	Cleburne		https://www.cleburne.net/1499/Conference-Center	1501 West Henderson Street Cleburne, Texas 76033	Q1378975	convention center		
Q12383922	-8.544446	42.889555	ES	Q14314	Auditorio de Galicia	Santiago de Compostela		http://www.auditoriodegalicia.org/	Avenida do Burgo das Nacións, 15705 Santiago de Compostela	Q1329623	cultural center		
Q12385485	-8.40477778	43.36772222	ES	Q8757	Casa da Cultura Salvador de Madariaga	A Coruña				Q1329623	cultural center		
Q123859568	2.10383	13.53811	NE	Q3674	Centre National de la Cinématographie du Niger	Niamey		http://cnc-niger.org/		Q1329623	cultural center		
Q123865195	51.44125	35.702277777778	IR	Q5712401	Imam Reza Cultural Complex (Tehran)	District 7				Q1329623	cultural center		
Q123865564			CA	Q141769	Espace Carole-Séguin	La Tuque				Q230752	auditorium		
Q123865579	-72.78539	47.43392	CA	Q141769	Complexe culturel Félix-Leclerc	La Tuque		https://www.ville.latuque.qc.ca/fr/repertoire/2382/www.complexeculturelfelixleclerc.com	725, boulevard Ducharme, La Tuque, Québec	Q1329623	cultural center		
Q123896483	4.4273080306862	50.8172351	BE	Q272228	Cultural Center of Auderghem	Auderghem - Oudergem		https://ccauderghem.be/		Q1329623	cultural center		
Q123905369	38.65342	55.77098	RU	Q177908	Pavlovo-Pokrovskiy house of culture	Pavlovsky Posad				Q1329623	cultural center		
Q123908633	30.465855	59.864042	RU	Q656	Obukhovskoi Oborony Prospekt 223	Saint Petersburg				Q1329623	cultural center		
Q123915133			GB	Q201812	Venn Street Arts Centre, Huddersfield	Huddersfield				Q1329623	cultural center		
Q123922303	-73.52386	45.59555	CA	Q1628888	Salle polyvalente	Mercier–Hochelaga-Maisonneuve			8105, rue Hochelaga, Montréal, Québec	Q230752	auditorium		
Q123922444	-73.52386	45.59555	CA	Q1628888	Salle de spectacle	Mercier–Hochelaga-Maisonneuve			8105, rue Hochelaga, Montréal, Québec	Q230752	auditorium		
Q123945225	2.5299473613011	46.724389068908	FR	Q209109	Cité de l’Or	Saint-Amand-Montrond		http://www.cite-or.com/	145, rue de la Cannetille, 18200 Saint-Amand-Montrond	Q1378975	convention center		
Q123956466	-0.58991098270509	47.492814595709	FR	Q791403	Centre culturel Georges Brassens	Avrillé		https://brassens.ville-avrille.fr/	Allée Georges Brassens, 49240 Avrillé	Q1329623	cultural center		
Q12396918	-8.3990750519105	43.367996646997	ES	Q8757	Palacio de Exposicións e Congresos	A Coruña		https://www.palexco.com	Peirao de Transatlánticos s/n	Q1378975	convention center		
Q12397272	-8.6375833333333	42.435361111111	ES	Q12411	Pontevedra Convention Centre	Pontevedra				Q1378975	convention center		
Q12398772	-8.6394444444444	42.436111111111	ES	Q12411	Pontevedra Exhibition Centre	Pontevedra				Q1378975	convention center		
Q123992227	15.647020339966	49.602936932315	CZ	Q56412083	sokol house in Pohled	Q56412083				Q1329623	cultural center		
Q124005719			BR		SESC Casa Verde					Q1329623	cultural center		
Q1240164	11.58	50.9272	DE	Q3150	Volkshaus Jena	Jena		https://www.volkshaus-jena.de/	Carl-Zeiss-Platz 15, 07743 Jena	Q1329623	cultural center		
Q12403478	34.77575	32.06709	IL	Q33935	Ohel Shem hall	Tel Aviv			רח' בלפור 30	Q1329623	cultural center		
Q124044734	15.6073208	50.6288728	CZ	Q1008595	Dům dětí a mládeže Pelíšek	Vrchlabí		https://www.ddmvrchlabi.cz/	Husova 212, 54301 Vrchlabí	Q1329623	cultural center		
